Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Board Of Elections,ELECTION INSPECTOR,Temp,1070.0,0.0,0.0,1070.0,2022/09/01 00:00:00+00,0.0,
District Attorney,ASST SPECIAL INVESTIGATOR,Suffolk Detective Investigators (DIPBA),45695.0,0.0,10029.02,55924.02,2022/08/01 00:00:00+00,0.0,
Police,EVIDENCE RECOVERY TOW OPERATOR,Association of Municipal Employees (AME-Blue Collar),65656.4,2600.0,8025.9,86425.09,1992/06/08 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),78123.3,0.0,10744.6,111689.49,2017/10/23 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,828.75,0.0,0.0,828.75,2022/05/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),22363.19,1041.67,168.38,26497.57,2006/01/18 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),20275.0,0.0,358.38,22388.98,2022/07/25 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),52408.33,0.0,42888.2,100588.75,2019/09/09 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1086.25,0.0,0.0,1086.25,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,6876.25,0.0,0.0,6876.25,2022/05/01 00:00:00+00,0.0,
District Attorney,PRINCIPAL ASST DIST ATTY,Management,126077.0,1250.0,0.0,145315.38,2008/08/04 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),128151.0,6325.0,12672.34,201193.62,2011/12/26 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,2750.0,51134.53,177990.25,2003/11/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1610.0,0.0,0.0,1610.0,2022/05/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),11725.78,0.0,80.38,13303.22,2016/08/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),140195.8,17250.0,167483.19,360322.69,1995/03/13 00:00:00+00,0.0,
Health Services,MEDICAL RECORDS CLERK,Association of Municipal Employees (AME-White Collar),0.0,0.0,824.61,2534.54,2019/03/25 00:00:00+00,1489.36,2021/09/25 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1508.75,0.0,0.0,1508.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,15525.0,59499.45,250613.95,1995/11/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,742.5,0.0,0.0,742.5,2022/05/01 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC III,Association of Municipal Employees (AME-Blue Collar),35600.44,0.0,0.0,48183.86,2002/10/15 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Traffic Violations Bureau,OFFICE ASSISTANT,Temp,6825.0,0.0,0.0,6825.0,2022/08/08 00:00:00+00,0.0,2022/06/10 00:00:00+00
Police,PR BUSINESS INTEL SYSTEMS DEVL,Association of Municipal Employees (AME-White Collar),116126.62,2250.0,2312.0,126701.04,2001/04/02 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,5319.07,84328.85,2019/10/21 00:00:00+00,0.0,
Social Services,CASEWORK SUPERVISOR,Association of Municipal Employees (AME-White Collar),94358.4,2250.0,0.0,101441.82,1999/06/21 00:00:00+00,0.0,
Economic Develop & Planning,MAP & COORDINATE SUPVR,Association of Municipal Employees (AME-White Collar),116492.21,1750.0,0.0,124183.63,2005/05/16 00:00:00+00,0.0,
District Attorney,CRIME VICTIMS ADVOCATE,Association of Municipal Employees (AME-White Collar),24789.3,0.0,0.0,24789.3,2019/05/28 00:00:00+00,0.0,2022/07/13 00:00:00+00
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),123554.53,1950.0,45504.09,186942.11,2008/01/28 00:00:00+00,0.0,
Public Works,VECTOR CONTROL AIDE,Association of Municipal Employees (AME-Blue Collar),57884.6,1750.0,25940.62,88682.64,2003/11/03 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),61930.13,1350.0,13791.26,86735.18,2017/09/25 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),114741.93,1350.0,35855.31,162571.89,2016/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9584.11,0.0,1415.78,12036.81,2022/09/19 00:00:00+00,0.0,
Probation,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),12766.46,0.0,0.0,13017.46,2017/08/28 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,2369.65,0.0,0.0,2369.65,2022/11/25 00:00:00+00,0.0,2022/11/10 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,985.63,0.0,0.0,985.63,2022/05/01 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),97740.7,2250.0,9159.13,114741.22,2000/04/03 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,15525.0,54565.0,278898.18,1995/03/13 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,1780.0,0.0,0.0,1780.0,2022/08/25 00:00:00+00,0.0,
Audit & Control,ADMINISTRATOR III,Association of Municipal Employees (AME-White Collar),111538.58,2600.0,871.64,120686.64,1988/10/03 00:00:00+00,0.0,
Information Technology Service,OFFICE SYSTEMS TECHNICIAN,Association of Municipal Employees (AME-White Collar),69690.0,2600.0,7181.35,86024.77,1985/05/20 00:00:00+00,0.0,
Health Services,DIETITIAN,Association of Municipal Employees (AME-White Collar),34702.83,0.0,0.0,34815.25,2022/05/09 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3450.46,0.0,0.0,3450.46,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1858.75,0.0,0.0,1858.75,2022/05/01 00:00:00+00,0.0,
Public Works,ADMINISTRATIVE AIDE,Association of Municipal Employees (AME-White Collar),16380.0,0.0,0.0,16492.42,2022/08/22 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1680.0,0.0,0.0,1680.0,2022/05/31 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH SANITARIAN,Association of Municipal Employees (AME-White Collar),50538.73,2400.0,8379.93,62200.91,1991/11/27 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",COMM EMERG EVACUATN COORD,Association of Municipal Employees (AME-White Collar),48940.6,0.0,6750.46,55803.48,2020/09/21 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2550.0,0.0,0.0,2550.0,2022/07/05 00:00:00+00,0.0,
Real Property Tax Service,REAL PROP APPRSL TECH II,Association of Municipal Employees (AME-White Collar),39311.1,0.0,0.0,39486.52,2019/05/28 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),20152.4,19550.0,290.78,410773.06,1986/12/01 00:00:00+00,317163.6,2022/02/03 00:00:00+00
Health Services,CHEMIST I (PUBLIC HEALTH),Association of Municipal Employees (AME-White Collar),62163.21,0.0,190.8,63165.43,2018/06/29 00:00:00+00,0.0,
Civil Service,SR EMPLOYEE BENEFITS REP,Association of Municipal Employees (AME-White Collar),0.0,0.0,0.0,114.55,2021/11/01 00:00:00+00,114.55,2021/11/27 00:00:00+00
Police,SERGEANT (POLICE),Superior Officers Association (SOA),167839.9,12650.0,7326.47,220083.77,2005/09/12 00:00:00+00,0.0,
Health Services,JAIL MEDICAL ATTENDANT,Association of Municipal Employees (AME-White Collar),47309.21,0.0,20768.33,68750.96,2017/09/25 00:00:00+00,0.0,
Health Services,JAIL MEDICAL ATTENDANT,Association of Municipal Employees (AME-White Collar),63659.6,1750.0,14357.01,83242.03,2003/09/02 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,402.0,0.0,0.0,402.0,2021/11/13 00:00:00+00,0.0,
Social Services,FUEL ASSISTANCE WORKER I,Temp,10186.25,0.0,0.0,10186.25,2022/12/27 00:00:00+00,0.0,2022/12/09 00:00:00+00
Social Services,OFFICE ASSISTANT,Temp,12389.5,0.0,0.0,12389.5,2017/01/04 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),46229.1,0.0,1442.36,54450.07,2021/12/06 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,1950.0,47446.32,167956.68,2011/10/31 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15331.12,1041.67,114.29,18707.26,2009/03/11 00:00:00+00,0.0,
Audit & Control,ASST DIR OF AUDITING SERVICES,Association of Municipal Employees (AME-White Collar),144589.43,2400.0,0.0,154330.85,1996/08/05 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),12050.5,0.0,417.74,13845.47,2022/08/29 00:00:00+00,0.0,2022/11/24 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),90075.62,3450.0,11774.28,124515.66,2016/10/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1233.75,0.0,0.0,1233.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,22.98,55950.58,2021/10/25 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12075.0,31245.32,212285.82,2001/06/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,1870.47,54878.18,2021/12/06 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,686.25,0.0,0.0,686.25,2022/08/11 00:00:00+00,0.0,2022/08/28 00:00:00+00
Public Works,PUBL RELATIONS SPECIALIST,Association of Municipal Employees (AME-White Collar),83192.2,1250.0,18356.03,103766.65,2006/09/01 00:00:00+00,0.0,
Parks,LABORER,Association of Municipal Employees (AME-Blue Collar),21285.6,0.0,1199.11,22734.71,2016/05/27 00:00:00+00,0.0,2022/08/27 00:00:00+00
Probation,PROBATION OFFICER TRAINEE,Probation Officers Association (POA),61796.6,1250.0,188.42,63347.44,2008/03/31 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,14582.43,123434.47,2016/10/03 00:00:00+00,0.0,
Board Of Elections,ASST COMMISSIONER OF ELECTIONS,Management,105244.32,1750.0,0.0,117016.46,2006/07/31 00:00:00+00,0.0,
Audit & Control,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),40623.0,0.0,574.79,41793.21,2016/09/12 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",STUDENT INTERN II,Temp,2864.0,0.0,0.0,2864.0,2022/06/13 00:00:00+00,0.0,2021/08/13 00:00:00+00
Police,SERGEANT (POLICE),Superior Officers Association (SOA),100827.31,4025.0,3358.46,129280.92,2015/07/01 00:00:00+00,0.0,
Probation,PROBATION OFFICER,Probation Officers Association (POA),92196.31,2400.0,10359.54,105655.85,1993/01/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Association of Municipal Employees (AME-Blue Collar),1917.5,0.0,0.0,1917.5,2022/05/01 00:00:00+00,0.0,2002/09/29 00:00:00+00
Health Services,OFFICE ASSISTANT (SPANISH SPK),Association of Municipal Employees (AME-White Collar),37006.4,0.0,0.0,37534.82,2018/06/11 00:00:00+00,0.0,
Economic Develop & Planning,SENIOR PLANNER,Association of Municipal Employees (AME-White Collar),92458.6,1250.0,53.82,98599.84,2008/12/29 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2550.0,0.0,0.0,2550.0,2022/07/05 00:00:00+00,0.0,2021/08/21 00:00:00+00
Medical Examiners Office,FORENSIC SCIENTIST III (B SCI),Association of Municipal Employees (AME-White Collar),92985.8,0.0,217.8,94692.25,2017/03/13 00:00:00+00,0.0,
Traffic Violations Bureau,TRAFFIC COURT SUPERVISOR,Association of Municipal Employees (AME-White Collar),74960.0,0.0,0.0,75930.42,2013/09/12 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1325.0,0.0,0.0,1325.0,2022/05/01 00:00:00+00,0.0,2010/08/20 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2550.0,0.0,0.0,2550.0,2022/07/05 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1875.0,0.0,0.0,1875.0,2022/07/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,990.0,0.0,0.0,990.0,2022/01/31 00:00:00+00,0.0,2021/08/20 00:00:00+00
Health Services,SR PUBLIC HLTH SANITARIAN,Association of Municipal Employees (AME-White Collar),94358.39,1750.0,0.0,100934.81,2003/12/22 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,4207.5,0.0,0.0,4207.5,2022/08/15 00:00:00+00,0.0,
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,4500.0,0.0,0.0,4500.0,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
"Labor, License & Consumer Affairs",CONSUMER AFF SPEC I,Association of Municipal Employees (AME-White Collar),56863.53,0.0,0.0,57568.95,2016/01/04 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),158568.1,11500.0,45138.32,238834.6,2002/04/22 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),108917.13,1950.0,26990.41,147513.56,2011/12/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,843.75,0.0,0.0,843.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),2782.0,14375.0,-663.55,147136.51,2002/04/22 00:00:00+00,107613.27,2022/01/01 00:00:00+00
Sheriff,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),57795.8,1250.0,7604.1,67479.32,2010/05/10 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,402.0,0.0,0.0,402.0,2015/05/02 00:00:00+00,0.0,
Information Technology Service,SYSTEMS ANALYST,Association of Municipal Employees (AME-White Collar),72858.96,0.0,0.0,72971.38,2021/05/03 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,10627.88,0.0,0.0,10627.88,2016/04/23 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,13800.0,27626.37,210391.87,2007/12/26 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER I,Association of Municipal Employees (AME-Blue Collar),23263.36,0.0,0.0,23513.36,2020/01/13 00:00:00+00,0.0,2022/09/26 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),110488.8,5175.0,25661.46,160593.2,2013/10/28 00:00:00+00,0.0,
Police,SENIOR SYSTEMS ANALYST,Association of Municipal Employees (AME-White Collar),99133.8,0.0,3728.9,102975.12,2020/03/23 00:00:00+00,0.0,
Board Of Elections,ELECTION FORMS PROCESSOR 11,Board of Elections,94332.4,1750.0,42321.08,147443.9,2006/01/03 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2096.25,0.0,0.0,2096.25,2022/07/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2197.5,0.0,0.0,2197.5,2022/07/05 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,9984.5,89881.38,2019/09/09 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,13800.0,56223.39,239988.89,2006/09/11 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),58247.56,0.0,10714.48,107277.77,2017/10/27 00:00:00+00,0.0,
Law,ASSISTANT COUNTY ATTY,Management,72110.4,0.0,0.0,73197.82,2016/07/05 00:00:00+00,0.0,
Social Services,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),55644.51,2400.0,0.0,61196.93,1994/08/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,10015.95,118867.99,2016/10/03 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,25804.19,104813.97,2019/10/21 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,214.52,56142.12,2021/10/25 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",EMERG SVCS DISPATCHER II,Association of Municipal Employees (AME-Blue Collar),67611.2,0.0,12687.27,86459.87,2015/06/01 00:00:00+00,0.0,
District Attorney,ASST SPECIAL INVESTIGATOR,Suffolk Detective Investigators (DIPBA),2203.82,0.0,226.4,6319.42,2018/06/25 00:00:00+00,3889.2,2022/01/03 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,828.75,0.0,0.0,828.75,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2475.0,0.0,0.0,2475.0,2022/07/05 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,602.5,0.0,0.0,602.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1155.0,0.0,0.0,1155.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),53790.4,0.0,9323.63,77547.19,2021/04/12 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),56406.78,1250.0,0.0,58419.2,2010/05/24 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST TRAINEE,,43072.2,0.0,1585.47,45221.39,2019/11/18 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,708.75,0.0,0.0,708.75,2022/10/17 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,4665.0,0.0,0.0,4665.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ELECTION FORMS PROCESSOR 8,Board of Elections,91005.2,1250.0,23454.02,120702.64,2010/10/25 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH NURSE I,Association of Municipal Employees (AME-White Collar),72956.8,0.0,0.0,73905.22,2013/12/20 00:00:00+00,0.0,
Probation,PROBATION ASSISTANT,Association of Municipal Employees (AME-White Collar),49154.6,0.0,0.0,49892.02,2018/10/22 00:00:00+00,0.0,
Law,ASSISTANT COUNTY ATTY,Management,20908.38,0.0,0.0,21020.8,2020/12/31 00:00:00+00,0.0,2022/12/23 00:00:00+00
Police,DIR OF PROGRAM EVALUATION,Association of Municipal Employees (AME-White Collar),132380.1,0.0,0.0,134761.16,2018/02/21 00:00:00+00,0.0,
Health Services,ASSOC PUB HEALTH ENGINEER,Association of Municipal Employees (AME-White Collar),60828.01,1000.0,0.0,151605.07,1997/06/02 00:00:00+00,83243.12,2022/06/12 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),35751.9,1041.67,486.82,39723.01,2007/04/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,4786.64,191876.14,2002/11/12 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),45500.39,0.0,326.72,45939.53,2020/03/09 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,268.0,0.0,0.0,268.0,2018/09/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,16112.38,96009.29,2019/10/21 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1904.39,0.0,0.0,1904.39,2022/05/01 00:00:00+00,0.0,
Health Services,SR PSYCHIATRIC SOC WORKER,Association of Municipal Employees (AME-White Collar),93847.19,2250.0,0.0,102733.4,1999/01/25 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),65444.13,1250.0,0.0,67493.55,2011/12/12 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,44130.65,167912.3,2006/01/30 00:00:00+00,0.0,
Sheriff,ADMINISTRATIVE ASSISTANT,Association of Municipal Employees (AME-White Collar),63552.8,1750.0,11734.31,80477.53,2003/05/05 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I (INVEST),Correction Officers Association (COA),109848.13,1950.0,8556.91,130842.28,2011/04/25 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),99588.93,1950.0,9326.33,120479.31,2004/06/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,609.38,0.0,0.0,609.38,2022/05/01 00:00:00+00,0.0,
Parks,MAINTENANCE MECHANIC IV,Association of Municipal Employees (AME-Blue Collar),72939.2,1750.0,20917.62,99766.24,2003/03/24 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1328.95,0.0,0.0,1328.95,2022/05/01 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),19070.19,1041.67,142.56,22187.98,2009/10/01 00:00:00+00,0.0,
Sheriff,ADMINISTRATOR II,Association of Municipal Employees (AME-White Collar),90999.8,2250.0,3507.0,101725.22,2001/06/25 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.79,1750.0,904.56,72772.77,2006/08/21 00:00:00+00,0.0,
Social Services,CASEWORKER (SPANISH SPKG),Association of Municipal Employees (AME-White Collar),53737.6,0.0,0.0,53850.02,2020/12/07 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,9127.5,0.0,0.0,9127.5,2022/06/15 00:00:00+00,0.0,2022/10/31 00:00:00+00
Civil Service,PERSONNEL ANALYST,Association of Municipal Employees (AME-White Collar),76344.41,1750.0,0.0,82029.83,2003/06/23 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,601.25,0.0,0.0,601.25,2022/05/01 00:00:00+00,0.0,
Police,OFFICE SYSTEMS ANALYST II,Association of Municipal Employees (AME-White Collar),71733.79,1250.0,6600.27,79834.06,2013/03/06 00:00:00+00,0.0,2022/11/17 00:00:00+00
Social Services,OFFICE ASSISTANT (SPANISH SPK),Association of Municipal Employees (AME-White Collar),0.0,0.0,0.0,2143.49,2018/11/19 00:00:00+00,1742.04,2021/09/18 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,868.75,0.0,0.0,868.75,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2222.14,0.0,0.0,2222.14,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,22.98,55950.58,2021/10/25 00:00:00+00,0.0,
District Attorney,GUARD,Association of Municipal Employees (AME-Blue Collar),25468.31,0.0,0.0,25580.73,2022/03/14 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,978.51,0.0,0.0,978.51,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",NEIGHBORHOOD AIDE,Association of Municipal Employees (AME-White Collar),58109.8,2400.0,0.0,63525.22,1996/09/09 00:00:00+00,0.0,
Health Services,ACCOUNTANT,Association of Municipal Employees (AME-White Collar),79905.6,1750.0,9460.18,95409.2,2003/09/22 00:00:00+00,0.0,
Public Works,WASTEWATER TRTMNT PLNT HELPER,Association of Municipal Employees (AME-Blue Collar),11040.0,0.0,495.0,11535.0,2022/01/10 00:00:00+00,0.0,2022/05/17 00:00:00+00
Legislature,LEGISLATIVE AIDE I,Management,33096.04,0.0,0.0,33661.46,2014/01/01 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,741.51,0.0,0.0,741.51,2022/09/01 00:00:00+00,0.0,
